90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.467,0.567,0.0,0.462,0.572
0.47,0.579,0.0,0.467,0.567
0.462,0.592,0.0,0.47,0.579
0.463,0.575,0.0,0.462,0.592
0.459,0.572,0.0,0.463,0.575
0.447,0.581,0.0,0.459,0.572
0.456,0.59,0.0,0.447,0.581
0.456,0.578,0.0,0.456,0.59
0.458,0.57,0.0,0.456,0.578
0.457,0.572,0.0,0.458,0.57
0.449,0.566,1.0,0.457,0.572
0.435,0.554,2.0,0.449,0.566
0.433,0.553,0.0,0.435,0.554
0.437,0.555,0.0,0.433,0.553
0.435,0.558,0.0,0.437,0.555
0.442,0.555,0.0,0.435,0.558
0.446,0.556,0.0,0.442,0.555
0.446,0.578,0.0,0.446,0.556
0.454,0.564,0.0,0.446,0.578
0.461,0.554,0.0,0.454,0.564
0.454,0.568,0.0,0.461,0.554
0.447,0.56,0.0,0.454,0.568
0.442,0.555,0.0,0.447,0.56
0.446,0.56,0.0,0.442,0.555
0.444,0.556,0.0,0.446,0.56
0.437,0.57,0.0,0.444,0.556
0.444,0.569,0.0,0.437,0.57
0.434,0.578,0.0,0.444,0.569
0.426,0.569,1.0,0.434,0.578
0.436,0.545,1.0,0.426,0.569
0.438,0.554,0.0,0.436,0.545
0.435,0.545,0.0,0.438,0.554
0.437,0.558,0.0,0.435,0.545
0.424,0.539,0.0,0.437,0.558
0.43,0.542,0.0,0.424,0.539
0.44,0.553,0.0,0.43,0.542
0.437,0.551,0.0,0.44,0.553
0.434,0.544,0.0,0.437,0.551
0.434,0.554,0.0,0.434,0.544
0.476,0.573,0.0,0.434,0.554
0.489,0.568,0.0,0.476,0.573
0.486,0.558,0.0,0.489,0.568
0.471,0.558,0.0,0.486,0.558
0.485,0.562,0.0,0.471,0.558
0.48,0.557,0.0,0.485,0.562
0.48,0.563,0.0,0.48,0.557
0.462,0.563,0.0,0.48,0.563
0.459,0.551,0.0,0.462,0.563
0.46,0.564,0.0,0.459,0.551
0.473,0.558,0.0,0.46,0.564
0.467,0.557,0.0,0.473,0.558
0.462,0.569,0.0,0.467,0.557
0.48,0.564,1.0,0.462,0.569
0.471,0.573,0.0,0.48,0.564
0.477,0.574,0.0,0.471,0.573
0.476,0.582,0.0,0.477,0.574
0.477,0.568,0.0,0.476,0.582
0.469,0.569,0.0,0.477,0.568
0.47,0.571,0.0,0.469,0.569
0.454,0.57,0.0,0.47,0.571
0.443,0.568,0.0,0.454,0.57
0.445,0.575,0.0,0.443,0.568
0.465,0.573,0.0,0.445,0.575
0.442,0.568,0.0,0.465,0.573
0.443,0.563,0.0,0.442,0.568
0.453,0.572,0.0,0.443,0.563
0.438,0.563,0.0,0.453,0.572
0.451,0.559,0.0,0.438,0.563
0.446,0.576,0.0,0.451,0.559
0.448,0.563,0.0,0.446,0.576
0.449,0.562,0.0,0.448,0.563
0.437,0.577,0.0,0.449,0.562
0.438,0.569,0.0,0.437,0.577
0.435,0.561,0.0,0.438,0.569
0.448,0.55,0.0,0.435,0.561
0.448,0.553,0.0,0.448,0.55
0.445,0.55,1.0,0.448,0.553
0.452,0.555,0.0,0.445,0.55
0.451,0.563,1.0,0.452,0.555
0.456,0.557,2.0,0.451,0.563
0.448,0.553,2.0,0.456,0.557
0.459,0.551,2.0,0.448,0.553
0.471,0.556,2.0,0.459,0.551
